Timestamp,Date,Time,Bus,Count,OnOff,Latitude,Longitude,Route,Stop
6/28/21 13:12:19,6/28/2021,13:02:48,2402,1,on,35.31350708,-80.73193359,Green,North Deck
6/28/21 13:20:51,6/28/2021,13:12:19,2411,1,on,35.30318451,-80.72944641,Green,Robinson Hall N
6/28/21 13:24:21,6/28/2021,13:20:51,2411,1,on,35.31375504,-80.73202515,Green,North Deck
6/28/21 13:25:03,6/28/2021,13:24:21,2411,2,on,35.31181717,-80.73352814,Green,Wallis Hall W/Light Rail
6/28/21 13:32:37,6/28/2021,13:25:03,2402,2,on,35.30336762,-80.72949982,Green,Robinson Hall N
6/28/21 13:46:06,6/28/2021,13:32:37,2411,1,on,35.30837631,-80.73248291,Green,Student Union E
6/28/21 13:52:14,6/28/2021,13:46:06,2402,1,on,35.30369186,-80.72951508,Green,Robinson Hall S
6/28/21 14:00:28,6/28/2021,13:52:14,2402,1,on,35.30224991,-80.73271179,Green,Levine Hall E
6/28/21 14:04:50,6/28/2021,14:00:28,2402,1,on,35.31295395,-80.73258972,Green,Wallis Hall W/Light Rail
6/28/21 14:15:25,6/28/2021,14:04:50,2402,2,on,35.30904388,-80.731987,Green,Student Union E
6/28/21 14:16:29,6/28/2021,14:15:25,2411,1,on,35.30811691,-80.73275757,Green,Student Union E
6/28/21 14:24:23,6/28/2021,14:16:29,2411,1,on,35.30811691,-80.73036957,Green,Aux Services East
6/28/21 14:29:07,6/28/2021,14:24:23,2402,5,on,35.31209946,-80.73326874,Green,Wallis Hall W/Light Rail
6/28/21 14:32:03,6/28/2021,14:29:07,2411,1,on,35.30767822,-80.72927856,Green,Fretwell N
6/28/21 14:57:02,6/28/2021,14:32:03,2402,2,on,35.30434036,-80.73269653,Green,Reese West
6/28/21 14:58:23,6/28/2021,14:57:02,2411,4,on,35.31195068,-80.73352814,Green,Wallis Hall W/Light Rail
6/28/21 15:02:41,6/28/2021,14:58:23,2402,1,on,35.3021431,-80.73269653,Green,Levine Hall E
6/28/21 15:11:36,6/28/2021,15:02:41,2402,1,on,35.31071854,-80.72933197,Green,Student Health N
6/28/21 15:23:18,6/28/2021,15:11:36,2402,1,on,35.30807495,-80.7327652,Green,Student Union E
6/28/21 15:25:20,6/28/2021,15:23:18,2411,3,on,35.30810547,-80.73280335,Green,Student Union E
6/28/21 15:31:06,6/28/2021,15:25:20,2402,1,on,35.30754471,-80.72933197,Green,Fretwell N
6/28/21 15:43:03,6/28/2021,15:31:06,2402,1,on,35.31197357,-80.73339081,Green,Wallis Hall W/Light Rail
6/28/21 15:46:43,6/28/2021,15:43:03,2411,1,on,35.31194687,-80.73347473,Green,Wallis Hall W/Light Rail
6/28/21 15:58:41,6/28/2021,15:46:43,2402,1,on,35.30332184,-80.72945404,Green,Robinson Hall N
6/28/21 16:01:06,6/28/2021,15:58:41,2402,11,on,35.30810165,-80.73277283,Green,Student Union E
6/28/21 16:10:30,6/28/2021,16:01:06,2411,2,on,35.30765915,-80.72935486,Green,Fretwell N
6/28/21 16:28:02,6/28/2021,16:10:30,2411,1,on,35.30810547,-80.73296356,Green,Student Union E
6/28/21 16:30:20,6/28/2021,16:28:02,2411,1,on,35.3119545,-80.7334671,Green,Wallis Hall W/Light Rail
6/28/21 16:37:20,6/28/2021,16:30:20,2402,5,on,35.30216599,-80.73274994,Green,Levine Hall E
6/28/21 16:49:12,6/28/2021,16:37:20,2411,1,on,35.30444717,-80.73280335,Green,Reese West
6/28/21 16:50:52,6/28/2021,16:49:12,2411,1,on,35.31189728,-80.73339844,Green,Wallis Hall W/Light Rail
6/28/21 17:03:41,6/28/2021,16:50:52,2411,3,on,35.31190872,-80.73340607,Green,Wallis Hall W/Light Rail
6/28/21 17:05:37,6/28/2021,17:03:41,2411,1,on,35.30209351,-80.73271942,Green,Levine Hall E
6/28/21 17:10:27,6/28/2021,17:05:37,2402,2,on,35.30804062,-80.73272705,Green,Student Union E
6/28/21 17:14:27,6/28/2021,17:10:27,2402,1,on,35.30438995,-80.73269653,Green,Reese West
6/28/21 17:15:25,6/28/2021,17:14:27,2411,3,on,35.31193161,-80.73339844,Green,Wallis Hall W/Light Rail
6/28/21 17:17:31,6/28/2021,17:15:25,2402,2,on,35.30340195,-80.72948456,Green,Robinson Hall N
6/28/21 17:22:49,6/28/2021,17:17:31,2411,1,on,35.30802536,-80.73271179,Green,Student Union E
6/28/21 17:26:53,6/28/2021,17:22:49,2402,1,on,35.31189346,-80.73335266,Green,Wallis Hall W/Light Rail
6/28/21 18:07:16,6/28/2021,17:26:53,2402,1,on,35.30804443,-80.73274231,Green,Student Union E
6/28/21 18:14:09,6/28/2021,18:07:16,2402,1,on,35.31063843,-80.72933197,Green,Student Health N
6/28/21 18:14:40,6/28/2021,18:14:09,2411,1,on,35.31068039,-80.72925568,Green,Student Health N
6/28/21 18:20:24,6/28/2021,18:14:40,2402,1,on,35.30806351,-80.73272705,Green,Student Union E
6/28/21 18:26:51,6/28/2021,18:20:24,2411,2,on,35.30807495,-80.73279572,Green,Student Union E
6/28/21 18:29:49,6/28/2021,18:26:51,2402,1,on,35.31167603,-80.73054504,Green,Student Health (Green) W
6/28/21 18:43:04,6/28/2021,18:29:49,2402,1,on,35.31199646,-80.73352814,Green,Wallis Hall W/Light Rail
6/28/21 19:01:17,6/28/2021,18:43:04,2411,1,on,35.31192017,-80.73342896,Green,Wallis Hall W/Light Rail
6/28/21 19:08:55,6/28/2021,19:01:17,2411,1,on,35.31062698,-80.72914887,Green,Student Health N
6/28/21 19:21:04,6/28/2021,19:08:55,2411,2,on,35.30809784,-80.73265839,Green,Student Union E
6/28/21 20:15:39,6/28/2021,19:21:04,2402,1,on,35.30815125,-80.73291779,Green,Student Union E
6/28/21 20:22:28,6/28/2021,20:15:39,2411,1,on,35.3080101,-80.73282623,Green,Student Union E
6/28/21 20:25:12,6/28/2021,20:22:28,2402,1,on,35.31420517,-80.73188782,Green,North Deck
6/28/21 20:25:33,6/28/2021,20:25:12,2402,1,on,35.31205368,-80.73305512,Green,Wallis Hall W/Light Rail
6/28/21 20:28:08,6/28/2021,20:25:33,2411,3,on,35.30208588,-80.73274231,Green,Levine Hall E
6/28/21 20:39:17,6/28/2021,20:28:08,2402,1,on,35.30806351,-80.73267365,Green,Student Union E
6/28/21 20:45:42,6/28/2021,20:39:17,2411,1,on,35.3070221,-80.72942352,Green,Fretwell S
7/1/2020 9:08,7/1/2020,9:08:33,2407,1,on,35.3094101,-80.74403381,Silver,CRI Deck
7/1/2020 9:12,7/1/2020,9:12:33,2406,1,on,35.31003952,-80.72611237,Silver,Martin Hall
7/1/2020 9:36,7/1/2020,9:36:42,2406,1,on,35.30717087,-80.72528076,Silver,Lot 5A
7/1/2020 9:46,7/1/2020,9:46:44,2407,1,on,35.30879974,-80.72509003,Silver,Lot 6
7/1/2020 9:47,7/1/2020,9:47:42,2407,1,on,35.30718994,-80.72520447,Silver,Lot 5A
7/1/2020 9:56,7/1/2020,9:56:48,2407,1,on,35.30942917,-80.74401093,Silver,CRI Deck
7/1/2020 10:00,7/1/2020,10:00:13,2407,1,on,35.30944061,-80.74404144,Silver,CRI Deck
7/1/2020 10:00,7/1/2020,10:00:54,2406,1,on,35.30716705,-80.72527313,Silver,Lot 5A
7/1/2020 10:36,7/1/2020,10:36:35,2406,1,on,35.30944824,-80.74411011,Silver,CRI Deck
7/1/2020 10:59,7/1/2020,10:59:18,2407,1,on,35.30861282,-80.72496796,Silver,Lot 6
7/1/2020 11:11,7/1/2020,11:11:26,2407,1,on,35.30942535,-80.74401856,Silver,CRI Deck
7/1/2020 11:26,7/1/2020,11:26:11,2406,1,on,35.30939865,-80.744133,Silver,CRI Deck
7/1/2020 11:27,7/1/2020,11:27:30,2407,3,on,35.30865479,-80.72494507,Silver,Lot 6
7/1/2020 11:28,7/1/2020,11:28:19,2406,2,on,35.31235123,-80.74176788,Silver,Duke Centennial Hall East
7/1/2020 11:29,7/1/2020,11:29:10,2407,1,on,35.30714798,-80.72514343,Silver,Lot 5A
7/1/2020 11:30,7/1/2020,11:30:52,2407,1,on,35.30762482,-80.72934723,Silver,Fretwell N
7/1/2020 11:36,7/1/2020,11:36:35,2406,1,on,35.30869675,-80.72489929,Silver,Lot 6
7/1/2020 11:38,7/1/2020,11:38:45,2407,1,on,35.30942535,-80.74399567,Silver,CRI Deck
7/1/2020 11:44,7/1/2020,11:44:29,2407,1,on,35.30945206,-80.74403381,Silver,CRI Deck
7/1/2020 11:49,7/1/2020,11:49:49,2407,1,on,35.3094635,-80.74404907,Silver,CRI Deck
7/1/2020 12:05,7/1/2020,12:05:02,2407,1,on,35.30719376,-80.72524262,Silver,Lot 5A
7/1/2020 12:07,7/1/2020,12:07:36,2406,1,on,35.30941391,-80.74399567,Silver,CRI Deck
7/1/2020 12:08,7/1/2020,12:08:02,2407,1,on,35.30749893,-80.72929382,Silver,Fretwell N
7/1/2020 12:15,7/1/2020,12:15:42,2407,1,on,35.30934906,-80.74417877,Silver,CRI Deck
7/1/2020 12:23,7/1/2020,12:23:02,2407,1,on,35.30812836,-80.73269653,Silver,Student Union E
7/1/2020 12:26,7/1/2020,12:26:58,2407,1,on,35.30720902,-80.72523499,Silver,Lot 5A
7/1/2020 12:32,7/1/2020,12:32:41,2406,1,on,35.3071785,-80.72523499,Silver,Lot 5A
7/1/2020 12:35,7/1/2020,12:35:15,2406,1,on,35.30759811,-80.72935486,Silver,Fretwell N
7/1/2020 12:35,7/1/2020,12:35:39,2406,1,on,35.30760193,-80.72935486,Silver,Fretwell N
7/1/2020 12:37,7/1/2020,12:37:04,2407,1,on,35.30938339,-80.74402618,Silver,CRI Deck
7/1/2020 12:46,7/1/2020,12:46:29,2407,1,on,35.30882645,-80.72507477,Silver,Lot 6
7/1/2020 12:47,7/1/2020,12:47:59,2407,3,on,35.3071785,-80.72519684,Silver,Lot 5A
7/1/2020 12:56,7/1/2020,12:56:43,2407,1,on,35.3094101,-80.74404907,Silver,CRI Deck
7/1/2020 13:02,7/1/2020,13:02:09,2407,1,on,35.3123169,-80.74175263,Silver,Duke Centennial Hall East
7/1/2020 13:03,7/1/2020,13:03:02,2406,1,on,35.30755997,-80.72929382,Silver,Fretwell N
7/1/2020 13:07,7/1/2020,13:07:21,2407,1,on,35.30804443,-80.73046875,Silver,Aux Services East
7/1/2020 13:15,7/1/2020,13:15:32,2406,1,on,35.31233597,-80.74169159,Silver,Duke Centennial Hall East
7/1/2020 13:19,7/1/2020,13:19:57,2406,1,on,35.30805969,-80.73274994,Silver,Student Union E
7/1/2020 13:50,7/1/2020,13:50:15,2406,1,on,35.30879211,-80.72506714,Silver,Lot 6
7/1/2020 13:51,7/1/2020,13:51:18,2406,1,on,35.30717087,-80.72531891,Silver,Lot 5A
7/1/2020 14:09,7/1/2020,14:09:18,2406,1,on,35.30809021,-80.73269653,Silver,Student Union E
7/1/2020 14:09,7/1/2020,14:09:44,2406,1,on,35.30809021,-80.73269653,Silver,Student Union E
7/1/2020 14:18,7/1/2020,14:18:43,2407,1,on,35.31225205,-80.74177551,Silver,Duke Centennial Hall East
7/1/2020 14:23,7/1/2020,14:23:11,2407,3,on,35.30828095,-80.73278046,Silver,Student Union E
7/1/2020 14:28,7/1/2020,14:28:41,2406,5,on,35.31226349,-80.74169159,Silver,Duke Centennial Hall East
7/1/2020 14:30,7/1/2020,14:30:25,2407,1,on,35.30725098,-80.72953796,Silver,Fretwell N
7/1/2020 14:33,7/1/2020,14:33:31,2406,1,on,35.30843353,-80.73246765,Silver,Student Union W
7/1/2020 14:41,7/1/2020,14:41:55,2406,1,on,35.30721664,-80.72522736,Silver,Lot 5A
7/1/2020 14:44,7/1/2020,14:44:04,2407,5,on,35.31246948,-80.74170685,Silver,Duke Centennial Hall East
7/1/2020 14:46,7/1/2020,14:46:21,2406,1,on,35.30818558,-80.73290253,Silver,Student Union W
7/1/2020 14:48,7/1/2020,14:48:01,2406,1,on,35.30817795,-80.7328949,Silver,Student Union W
7/1/2020 14:48,7/1/2020,14:48:45,2406,1,on,35.30817413,-80.7328949,Silver,Student Union W
7/1/2020 14:49,7/1/2020,14:49:04,2407,1,on,35.30857468,-80.73233032,Silver,Student Union W
7/1/2020 14:49,7/1/2020,14:49:35,2406,-3,on,35.30817795,-80.7328949,Silver,Student Union W
7/1/2020 14:56,7/1/2020,14:56:02,2407,5,on,35.30498886,-80.72857666,Silver,East Deck 2
7/1/2020 14:57,7/1/2020,14:57:10,2407,2,on,35.30750656,-80.72464752,Silver,Lot 5A
7/1/2020 14:58,7/1/2020,14:58:43,2406,1,on,35.31232452,-80.74179077,Silver,Duke Centennial Hall East
7/1/2020 15:08,7/1/2020,15:08:32,2406,1,on,35.30719757,-80.72525024,Silver,Lot 5A
7/1/2020 15:24,7/1/2020,15:24:46,2406,1,on,35.3079834,-80.73474884,Silver,UREC
7/1/2020 15:26,7/1/2020,15:26:49,2407,1,on,35.31280899,-80.74102783,Silver,Motor Sports
7/1/2020 15:29,7/1/2020,15:29:48,2406,1,on,35.308815,-80.72509003,Silver,Lot 6
7/1/2020 15:34,7/1/2020,15:34:52,2407,1,on,35.30797195,-80.73474121,Silver,UREC
7/1/2020 15:37,7/1/2020,15:37:42,2407,3,on,35.3108139,-80.72930145,Silver,Student Health N
7/1/2020 15:40,7/1/2020,15:40:06,2407,1,on,35.30718231,-80.72512817,Silver,Lot 5A
7/1/2020 15:42,7/1/2020,15:42:20,2407,1,on,35.30764008,-80.72929382,Silver,Fretwell N
7/1/2020 15:46,7/1/2020,15:46:47,2406,4,on,35.30804062,-80.73040772,Silver,Aux Services East
7/1/2020 15:46,7/1/2020,15:46:56,2406,1,on,35.30804062,-80.73040772,Silver,Aux Services East
7/1/2020 15:56,7/1/2020,15:56:30,2407,1,on,35.30945587,-80.74395752,Silver,CRI Deck
7/1/2020 15:59,7/1/2020,15:59:06,2407,5,on,35.31233215,-80.74169159,Silver,Duke Centennial Hall East
7/1/2020 16:10,7/1/2020,16:10:22,2406,2,on,35.31232452,-80.74169922,Silver,Duke Centennial Hall East
7/1/2020 16:12,7/1/2020,16:12:02,2406,1,on,35.31100464,-80.74150085,Silver,Grigg Hall E
7/1/2020 16:19,7/1/2020,16:19:24,2406,4,on,35.3087616,-80.72506714,Silver,Lot 6
7/1/2020 16:19,7/1/2020,16:19:31,2406,1,on,35.3087616,-80.72506714,Silver,Lot 6
7/1/2020 16:29,7/1/2020,16:29:23,2407,2,on,35.30868149,-80.72505188,Silver,Lot 6
7/1/2020 16:32,7/1/2020,16:32:17,2407,1,on,35.30757141,-80.72930145,Silver,Fretwell N
7/1/2020 16:41,7/1/2020,16:41:11,2407,4,on,35.30935669,-80.74411011,Silver,CRI Deck
7/1/2020 16:42,7/1/2020,16:42:31,2406,1,on,35.30721283,-80.7252655,Silver,Lot 5A
7/1/2020 16:44,7/1/2020,16:44:17,2407,2,on,35.30990982,-80.7417984,Silver,EPIC N
7/1/2020 16:44,7/1/2020,16:44:41,2406,1,on,35.30749893,-80.72929382,Silver,Fretwell N
7/1/2020 16:49,7/1/2020,16:49:08,2407,1,on,35.31070328,-80.72923279,Silver,Student Health N
7/1/2020 16:53,7/1/2020,16:53:47,2406,1,on,35.31231308,-80.74172211,Silver,Duke Centennial Hall East
7/1/2020 17:02,7/1/2020,17:02:00,2407,1,on,35.30937576,-80.743927,Silver,CRI Deck
7/1/2020 17:05,7/1/2020,17:05:28,2407,1,on,35.30948639,-80.74415588,Silver,CRI Deck
7/1/2020 17:08,7/1/2020,17:08:54,2407,1,on,35.31098175,-80.74143219,Silver,Grigg Hall E
7/1/2020 17:14,7/1/2020,17:14:48,2406,1,on,35.30940628,-80.7440567,Silver,CRI Deck
7/1/2020 17:16,7/1/2020,17:16:52,2406,1,on,35.31227493,-80.74173737,Silver,Duke Centennial Hall East
7/1/2020 17:19,7/1/2020,17:19:50,2406,1,on,35.30738831,-80.73985291,Silver,Athletics Complex E
7/1/2020 17:24,7/1/2020,17:24:06,2406,1,on,35.31079865,-80.72922516,Silver,Student Health N
7/1/2020 17:27,7/1/2020,17:27:28,2406,1,on,35.30717087,-80.72522736,Silver,Lot 5A
7/1/2020 17:28,7/1/2020,17:28:18,2407,1,on,35.31095123,-80.7414856,Silver,Grigg Hall E
7/1/2020 17:28,7/1/2020,17:28:54,2407,1,on,35.30984497,-80.74180603,Silver,EPIC N
7/1/2020 17:32,7/1/2020,17:32:05,2407,1,on,35.30804062,-80.73458862,Silver,UREC
7/1/2020 17:34,7/1/2020,17:34:25,2407,2,on,35.30902481,-80.72937012,Silver,Hickory Hall North
7/1/2020 17:38,7/1/2020,17:38:23,2407,5,on,35.30731964,-80.72532654,Silver,Lot 5A
7/1/2020 17:41,7/1/2020,17:41:10,2406,1,on,35.30991745,-80.74186707,Silver,EPIC N
7/1/2020 17:48,7/1/2020,17:48:05,2406,1,on,35.30879211,-80.72506714,Silver,Lot 6
7/1/2020 17:49,7/1/2020,17:49:17,2406,4,on,35.30713272,-80.72522736,Silver,Lot 5A
7/1/2020 18:00,7/1/2020,18:00:31,2407,2,on,35.30701828,-80.72521973,Silver,Lot 5A
7/1/2020 18:12,7/1/2020,18:12:34,2406,1,on,35.30707932,-80.72521973,Silver,Lot 5A
7/1/2020 18:25,7/1/2020,18:25:25,2406,2,on,35.31233978,-80.741745,Silver,Duke Centennial Hall East
7/1/2020 18:47,7/1/2020,18:47:01,2406,1,on,35.3095932,-80.74423981,Silver,CRI Deck
7/1/2020 18:47,7/1/2020,18:47:44,2407,5,on,35.31386185,-80.74245453,Silver,Motor Sports
7/1/2020 18:56,7/1/2020,18:56:53,2407,1,on,35.31386185,-80.74245453,Silver,Motor Sports
7/1/2020 18:57,7/1/2020,18:57:54,2406,1,on,35.30958176,-80.74436188,Silver,CRI Deck
7/1/2020 18:58,7/1/2020,18:58:06,2406,-1,on,35.30958176,-80.74436951,Silver,CRI Deck
7/1/2020 18:58,7/1/2020,18:58:37,2407,4,on,35.31386185,-80.74245453,Silver,Motor Sports
7/1/2020 19:03,7/1/2020,19:03:13,2407,2,on,35.31386185,-80.74245453,Silver,Motor Sports
7/1/2020 19:25,7/1/2020,19:25:18,2407,1,on,35.30957031,-80.7440567,Silver,CRI Deck
7/1/2020 19:27,7/1/2020,19:27:02,2407,2,on,35.31238556,-80.74169922,Silver,Duke Centennial Hall East
7/1/2020 19:28,7/1/2020,19:28:25,2406,1,on,35.30813217,-80.73498535,Silver,UREC
7/1/2020 19:28,7/1/2020,19:28:32,2407,1,on,35.30984497,-80.74183655,Silver,EPIC N
7/1/2020 19:33,7/1/2020,19:33:08,2407,1,on,35.31082153,-80.72928619,Silver,Student Health N
7/1/2020 19:35,7/1/2020,19:35:44,2407,3,on,35.30718613,-80.72525787,Silver,Lot 5A
7/1/2020 19:44,7/1/2020,19:44:58,2407,1,on,35.30942535,-80.74398041,Silver,CRI Deck
7/1/2020 19:45,7/1/2020,19:45:22,2407,1,on,35.30940247,-80.74396515,Silver,CRI Deck
7/1/2020 20:04,7/1/2020,20:04:22,2406,1,on,35.31120682,-80.74170685,Silver,Grigg Hall E
7/1/2020 20:04,7/1/2020,20:04:29,2406,-1,on,35.31087875,-80.74141693,Silver,Motor Sports
7/1/2020 20:04,7/1/2020,20:04:33,2406,1,on,35.31085205,-80.74142456,Silver,Grigg Hall W
7/1/2020 20:06,7/1/2020,20:06:33,2407,2,on,35.30928421,-80.74132538,Silver,EPIC S
7/1/2020 20:17,7/1/2020,20:17:33,2407,3,on,35.30799484,-80.73467255,Silver,UREC
7/1/2020 20:22,7/1/2020,20:22:12,2406,1,on,35.3110733,-80.74305725,Silver,Portal W
7/1/2020 20:31,7/1/2020,20:31:29,2406,4,on,35.30809021,-80.73287201,Silver,Student Union E
7/1/2020 20:34,7/1/2020,20:34:42,2407,1,on,35.30942154,-80.7440033,Silver,CRI Deck
7/1/2020 20:34,7/1/2020,20:34:44,2407,3,on,35.30942154,-80.7440033,Silver,CRI Deck
7/1/2020 20:40,7/1/2020,20:40:18,2407,1,on,35.30739594,-80.73985291,Silver,Athletics Complex E
7/1/2020 20:42,7/1/2020,20:42:30,2407,5,on,35.30792618,-80.73479462,Silver,Woodward Hall East
7/1/2020 20:55,7/1/2020,20:55:34,2407,1,on,35.30793381,-80.73492432,Silver,UREC
